id,weather,temp,pressure,humidity,wind
104,Cloudy,0,941,0.9917788534431158,36
105,Cloudy,0,752,0.9999118601072672,33
106,Cloudy,0,721,0.9589242746631385,5
107,Cloudy,0,905,0.4201670368266409,13
108,Sunny,100,371,0.9893582466233818,8
109,Sunny,100,144,0.158622668804709,41
110,Sunny,100,14,0.4121184852417566,9
111,Sunny,100,431,0.9880316240928618,30
112,Cloudy,0,592,0.008851309290403876,22
113,Cloudy,0,943,0.4121184852417566,9
114,Sunny,100,490,0.4121184852417566,9
115,Sunny,100,134,0.13235175009777303,25
116,Sunny,100,479,0.9999902065507035,11
117,Sunny,100,1,0.27090578830786904,28
118,Sunny,100,85,0.2963685787093853,38
119,Sunny,100,191,0.5365729180004349,12
120,Cloudy,0,656,0.836655638536056,21
121,Sunny,100,81,0.2963685787093853,38
122,Sunny,100,360,0.9537526527594719,49
123,Sunny,100,79,0.9637953862840878,39
124,Sunny,100,293,0.750987246771676,18
125,Sunny,100,69,0.7568024953079282,4
126,Cloudy,0,894,0.4121184852417566,9
127,Cloudy,0,804,0.017701925105413577,44
128,Sunny,100,457,0.1411200080598672,3
129,Sunny,100,136,0.9637953862840878,39
130,Cloudy,0,669,0.9880316240928618,30
131,Cloudy,0,503,0.7451131604793488,40
132,Sunny,100,30,0.6569865987187891,7
133,Cloudy,0,582,0.1411200080598672,3
134,Sunny,100,461,0.428182669496151,35
135,Cloudy,0,631,0.9092974268256817,2
136,Sunny,100,222,0.0,0
137,Sunny,100,319,0.2963685787093853,38
138,Sunny,100,142,0.2879033166650653,16
139,Cloudy,0,574,0.7568024953079282,4
140,Sunny,100,455,0.9165215479156338,42
141,Cloudy,0,915,0.13235175009777303,25
142,Cloudy,0,509,0.123573122745224,47
143,Cloudy,0,835,0.6435381333569994,37
144,Sunny,100,423,0.9637953862840878,39
145,Cloudy,0,877,0.5290826861200238,34
146,Sunny,100,29,0.5365729180004349,12
147,Sunny,100,446,0.5290826861200238,34
148,Cloudy,0,806,0.7568024953079282,4
149,Cloudy,0,943,0.9055783620066239,24
150,Cloudy,0,653,0.6435381333569994,37
151,Cloudy,0,947,0.5365729180004349,12
152,Cloudy,0,801,0.8317747426285983,43
153,Cloudy,0,907,0.9092974268256817,2
154,Cloudy,0,736,0.9537526527594719,49
155,Sunny,100,473,0.9637953862840878,39
156,Sunny,100,383,0.4121184852417566,9
157,Cloudy,0,960,0.4121184852417566,9
158,Sunny,100,162,0.8462204041751706,23
159,Sunny,100,80,0.5514266812416906,32
160,Cloudy,0,666,0.9880316240928618,30
161,Sunny,100,330,0.008851309290403876,22
162,Cloudy,0,617,0.836655638536056,21
163,Sunny,100,500,0.5365729180004349,12
164,Cloudy,0,748,0.27941549819892586,6
165,Cloudy,0,892,0.8414709848078965,1
166,Sunny,100,260,0.2879033166650653,16
167,Sunny,100,302,0.0,0
168,Cloudy,0,808,0.9589242746631385,5
169,Sunny,100,262,0.9880316240928618,30
170,Cloudy,0,584,0.6569865987187891,7
171,Cloudy,0,503,0.9613974918795568,17
172,Cloudy,0,598,0.6435381333569994,37
173,Sunny,100,187,0.5440211108893699,10
174,Sunny,100,439,0.0,0
175,Cloudy,0,625,0.5440211108893699,10
176,Sunny,100,345,0.5365729180004349,12
177,Cloudy,0,675,0.9893582466233818,8
178,Cloudy,0,935,0.8462204041751706,23
179,Sunny,100,57,0.5440211108893699,10
180,Cloudy,0,821,0.2879033166650653,16
181,Cloudy,0,557,0.27090578830786904,28
182,Sunny,100,451,0.7682546613236668,48
183,Cloudy,0,696,0.6569865987187891,7
184,Cloudy,0,771,0.13235175009777303,25
185,Cloudy,0,855,0.9917788534431158,36
186,Cloudy,0,943,0.9917788534431158,36
187,Cloudy,0,785,0.9092974268256817,2
188,Sunny,100,264,0.9999902065507035,11
189,Sunny,100,240,0.6569865987187891,7
190,Sunny,100,435,0.9637953862840878,39
191,Sunny,100,415,0.7451131604793488,40
192,Cloudy,0,744,0.9055783620066239,24
193,Cloudy,0,845,0.9537526527594719,49
194,Cloudy,0,783,0.9092974268256817,2
195,Sunny,100,39,0.9165215479156338,42
196,Cloudy,0,529,0.9055783620066239,24
197,Cloudy,0,730,0.9165215479156338,42
198,Cloudy,0,561,0.6502878401571169,15
199,Sunny,100,420,0.6435381333569994,37
200,Sunny,100,171,0.6569865987187891,7
201,Sunny,100,473,0.27090578830786904,28
202,Cloudy,0,896,0.6502878401571169,15
203,Cloudy,0,661,0.9893582466233818,8
204,Cloudy,0,503,0.750987246771676,18
205,Sunny,100,9,0.5290826861200238,34
206,Sunny,100,229,0.9055783620066239,24
207,Sunny,100,121,0.4201670368266409,13
208,Cloudy,0,943,0.5440211108893699,10
209,Cloudy,0,906,0.8509035245341184,45
210,Sunny,100,335,0.6569865987187891,7
211,Sunny,100,187,0.1411200080598672,3
212,Sunny,100,394,0.404037645323065,31
213,Cloudy,0,918,0.14987720966295234,19
214,Sunny,100,475,0.6569865987187891,7
215,Sunny,100,213,0.7451131604793488,40
216,Cloudy,0,915,0.9880316240928618,30
217,Cloudy,0,805,0.4201670368266409,13
218,Sunny,100,233,0.9589242746631385,5
219,Cloudy,0,929,0.9906073556948704,14
220,Sunny,100,57,0.9999902065507035,11
221,Sunny,100,488,0.6435381333569994,37
222,Cloudy,0,572,0.6569865987187891,7
223,Cloudy,0,646,0.123573122745224,47
224,Sunny,100,100,0.9017883476488092,46
225,Sunny,100,291,0.9999118601072672,33
226,Sunny,100,451,0.5514266812416906,32
227,Cloudy,0,603,0.7682546613236668,48
228,Sunny,100,214,0.9613974918795568,17
229,Cloudy,0,668,0.8509035245341184,45
230,Sunny,100,394,0.27941549819892586,6
231,Cloudy,0,641,0.13235175009777303,25
232,Sunny,100,198,0.6569865987187891,7
233,Sunny,100,454,0.9537526527594719,49
234,Sunny,100,256,0.9999902065507035,11
235,Cloudy,0,703,0.7568024953079282,4
236,Cloudy,0,887,0.158622668804709,41
237,Cloudy,0,823,0.428182669496151,35
238,Cloudy,0,842,0.008851309290403876,22
239,Sunny,100,58,0.404037645323065,31
240,Cloudy,0,566,0.9017883476488092,46
241,Cloudy,0,714,0.14987720966295234,19
242,Cloudy,0,785,0.7625584504796028,26
243,Sunny,100,461,0.1411200080598672,3
244,Sunny,100,485,0.6435381333569994,37
245,Cloudy,0,606,0.9055783620066239,24
246,Sunny,100,340,0.9999118601072672,33
247,Cloudy,0,720,0.27090578830786904,28
248,Cloudy,0,978,0.7568024953079282,4
249,Sunny,100,0,0.27941549819892586,6
250,Sunny,100,13,0.1411200080598672,3
251,Cloudy,0,970,0.13235175009777303,25
252,Sunny,100,151,0.9917788534431158,36
253,Sunny,100,92,0.750987246771676,18
254,Sunny,100,430,0.8509035245341184,45
255,Sunny,100,101,0.7682546613236668,48
256,Cloudy,0,658,0.750987246771676,18
257,Sunny,100,274,0.6569865987187891,7
258,Sunny,100,344,0.123573122745224,47
259,Cloudy,0,733,0.13235175009777303,25
260,Sunny,100,137,0.8509035245341184,45
261,Sunny,100,19,0.8462204041751706,23
262,Sunny,100,19,0.956375928404503,27
263,Cloudy,0,911,0.956375928404503,27
264,Cloudy,0,548,0.4121184852417566,9
265,Sunny,100,361,0.6569865987187891,7
266,Sunny,100,13,0.5440211108893699,10
267,Cloudy,0,662,0.2879033166650653,16
268,Cloudy,0,503,0.9129452507276277,20
269,Sunny,100,81,0.5365729180004349,12
270,Sunny,100,5,0.750987246771676,18
271,Sunny,100,150,0.836655638536056,21
272,Sunny,100,229,0.8317747426285983,43
273,Cloudy,0,895,0.8317747426285983,43
274,Cloudy,0,507,0.428182669496151,35
275,Cloudy,0,988,0.9092974268256817,2
276,Cloudy,0,779,0.4201670368266409,13
277,Sunny,100,37,0.9637953862840878,39
278,Sunny,100,451,0.9055783620066239,24
279,Cloudy,0,535,0.9537526527594719,49
280,Cloudy,0,772,0.6569865987187891,7
281,Sunny,100,245,0.4121184852417566,9
282,Cloudy,0,540,0.6502878401571169,15
283,Cloudy,0,752,0.158622668804709,41
284,Cloudy,0,985,0.9637953862840878,39
285,Cloudy,0,508,0.5514266812416906,32
286,Sunny,100,32,0.5290826861200238,34
287,Sunny,100,217,0.9129452507276277,20
288,Cloudy,0,955,0.14987720966295234,19
289,Sunny,100,195,0.2963685787093853,38
290,Sunny,100,295,0.428182669496151,35
291,Sunny,100,162,0.8317747426285983,43
292,Cloudy,0,807,0.7625584504796028,26
293,Cloudy,0,525,0.7451131604793488,40
294,Cloudy,0,825,0.017701925105413577,44
295,Sunny,100,159,0.14987720966295234,19
296,Sunny,100,481,0.13235175009777303,25
297,Cloudy,0,779,0.27941549819892586,6
298,Cloudy,0,715,0.0,0
299,Sunny,100,168,0.9537526527594719,49
300,Sunny,100,426,0.9537526527594719,49
301,Sunny,100,316,0.8414709848078965,1
302,Cloudy,0,616,0.9999118601072672,33
303,Sunny,100,173,0.9092974268256817,2
304,Sunny,100,178,0.404037645323065,31
305,Sunny,100,365,0.6636338842129675,29
306,Sunny,100,139,0.1411200080598672,3
307,Cloudy,0,594,0.5440211108893699,10
308,Sunny,100,252,0.428182669496151,35
309,Cloudy,0,981,0.017701925105413577,44
310,Cloudy,0,932,0.0,0
311,Sunny,100,430,0.9917788534431158,36
312,Cloudy,0,964,0.7625584504796028,26
313,Cloudy,0,595,0.0,0
314,Cloudy,0,602,0.9129452507276277,20
315,Cloudy,0,524,0.7451131604793488,40
316,Cloudy,0,773,0.7451131604793488,40
317,Cloudy,0,573,0.9880316240928618,30
318,Sunny,100,470,0.7451131604793488,40
319,Cloudy,0,594,0.9880316240928618,30
320,Cloudy,0,764,0.9537526527594719,49
321,Cloudy,0,574,0.9906073556948704,14
322,Sunny,100,464,0.6502878401571169,15
323,Cloudy,0,726,0.4121184852417566,9
324,Sunny,100,150,0.2963685787093853,38
325,Sunny,100,422,0.404037645323065,31
326,Sunny,100,259,0.6502878401571169,15
327,Sunny,100,175,0.836655638536056,21
328,Cloudy,0,783,0.5290826861200238,34
329,Sunny,100,281,0.6435381333569994,37
330,Cloudy,0,890,0.1411200080598672,3
331,Cloudy,0,655,0.9880316240928618,30
332,Cloudy,0,940,0.9537526527594719,49
333,Sunny,100,202,0.8462204041751706,23
334,Sunny,100,161,0.9055783620066239,24
335,Sunny,100,102,0.5440211108893699,10
336,Cloudy,0,983,0.7568024953079282,4
337,Sunny,100,362,0.4201670368266409,13
338,Cloudy,0,695,0.9906073556948704,14
339,Sunny,100,336,0.8462204041751706,23
340,Cloudy,0,949,0.158622668804709,41
341,Sunny,100,266,0.404037645323065,31
342,Cloudy,0,625,0.9999118601072672,33
343,Cloudy,0,712,0.9880316240928618,30
344,Sunny,100,101,0.27090578830786904,28
345,Sunny,100,403,0.8414709848078965,1
346,Cloudy,0,545,0.4201670368266409,13
347,Sunny,100,252,0.9999902065507035,11
348,Sunny,100,441,0.8462204041751706,23
349,Sunny,100,40,0.836655638536056,21
350,Sunny,100,457,0.27090578830786904,28
351,Cloudy,0,973,0.428182669496151,35
352,Sunny,100,190,0.8462204041751706,23
353,Sunny,100,194,0.9637953862840878,39
354,Sunny,100,248,0.9906073556948704,14
355,Sunny,100,253,0.6435381333569994,37
356,Sunny,100,39,0.2963685787093853,38
357,Sunny,100,107,0.1411200080598672,3
358,Cloudy,0,651,0.27941549819892586,6
359,Sunny,100,223,0.750987246771676,18
360,Sunny,100,421,0.956375928404503,27
361,Cloudy,0,993,0.9880316240928618,30
362,Cloudy,0,958,0.7568024953079282,4
363,Cloudy,0,598,0.7451131604793488,40
364,Cloudy,0,915,0.2879033166650653,16
365,Cloudy,0,688,0.956375928404503,27
366,Sunny,100,242,0.9537526527594719,49
367,Sunny,100,60,0.8414709848078965,1
368,Cloudy,0,728,0.5290826861200238,34
369,Cloudy,0,537,0.27941549819892586,6
370,Sunny,100,492,0.8317747426285983,43
371,Cloudy,0,744,0.956375928404503,27
372,Sunny,100,336,0.956375928404503,27
373,Cloudy,0,579,0.9880316240928618,30
374,Cloudy,0,989,0.6569865987187891,7
375,Cloudy,0,775,0.9880316240928618,30
376,Sunny,100,478,0.8317747426285983,43
377,Cloudy,0,994,0.7625584504796028,26
378,Cloudy,0,891,0.123573122745224,47
379,Cloudy,0,699,0.6569865987187891,7
380,Cloudy,0,720,0.4121184852417566,9
381,Sunny,100,448,0.4201670368266409,13
382,Sunny,100,142,0.123573122745224,47
383,Sunny,100,82,0.404037645323065,31
384,Cloudy,0,552,0.2963685787093853,38
385,Sunny,100,22,0.9999902065507035,11
386,Cloudy,0,883,0.9906073556948704,14
387,Sunny,100,183,0.9589242746631385,5
388,Cloudy,0,732,0.9999118601072672,33
389,Sunny,100,411,0.5514266812416906,32
390,Cloudy,0,902,0.5290826861200238,34
391,Cloudy,0,812,0.9017883476488092,46
392,Cloudy,0,856,0.7682546613236668,48
393,Cloudy,0,593,0.6502878401571169,15
394,Sunny,100,232,0.9589242746631385,5
395,Cloudy,0,861,0.8509035245341184,45
396,Sunny,100,4,0.404037645323065,31
397,Cloudy,0,929,0.0,0
398,Cloudy,0,697,0.4121184852417566,9
399,Sunny,100,344,0.4201670368266409,13
400,Cloudy,0,593,0.9999902065507035,11
401,Sunny,100,328,0.6435381333569994,37
402,Sunny,100,207,0.008851309290403876,22
403,Sunny,100,15,0.9165215479156338,42
404,Cloudy,0,553,0.0,0
405,Cloudy,0,553,0.9092974268256817,2
406,Cloudy,0,725,0.5440211108893699,10
407,Cloudy,0,585,0.0,0
408,Sunny,100,251,0.8509035245341184,45
409,Sunny,100,383,0.5514266812416906,32
410,Sunny,100,431,0.13235175009777303,25
411,Cloudy,0,586,0.2963685787093853,38
412,Sunny,100,73,0.9165215479156338,42
413,Sunny,100,5,0.123573122745224,47
414,Cloudy,0,608,0.7682546613236668,48
415,Cloudy,0,555,0.956375928404503,27
416,Sunny,100,216,0.14987720966295234,19
417,Sunny,100,178,0.7682546613236668,48
418,Sunny,100,408,0.158622668804709,41
419,Cloudy,0,994,0.4121184852417566,9
420,Sunny,100,59,0.750987246771676,18
421,Cloudy,0,894,0.6569865987187891,7
422,Sunny,100,160,0.5440211108893699,10
423,Cloudy,0,794,0.14987720966295234,19
424,Sunny,100,180,0.4201670368266409,13
425,Sunny,100,138,0.7682546613236668,48
426,Sunny,100,44,0.9893582466233818,8
427,Cloudy,0,993,0.5440211108893699,10
428,Sunny,100,91,0.4201670368266409,13
429,Cloudy,0,864,0.27941549819892586,6
430,Sunny,100,274,0.27090578830786904,28
431,Cloudy,0,527,0.9880316240928618,30
432,Cloudy,0,592,0.13235175009777303,25
433,Sunny,100,158,0.9589242746631385,5
434,Sunny,100,334,0.9917788534431158,36
435,Sunny,100,144,0.9129452507276277,20
436,Sunny,100,393,0.9880316240928618,30
437,Cloudy,0,901,0.7451131604793488,40
438,Cloudy,0,757,0.836655638536056,21
439,Sunny,100,107,0.017701925105413577,44
440,Sunny,100,105,0.8509035245341184,45
441,Sunny,100,422,0.8317747426285983,43
442,Cloudy,0,933,0.7451131604793488,40
443,Cloudy,0,789,0.2879033166650653,16
444,Cloudy,0,998,0.008851309290403876,22
445,Sunny,100,93,0.6502878401571169,15
446,Sunny,100,495,0.4201670368266409,13
447,Cloudy,0,565,0.2879033166650653,16
448,Cloudy,0,646,0.0,0
449,Sunny,100,414,0.6435381333569994,37
450,Sunny,100,55,0.5440211108893699,10
451,Sunny,100,417,0.0,0
452,Cloudy,0,645,0.6636338842129675,29
453,Cloudy,0,989,0.9906073556948704,14
454,Sunny,100,325,0.404037645323065,31
455,Cloudy,0,928,0.9906073556948704,14
456,Sunny,100,323,0.8414709848078965,1
457,Cloudy,0,851,0.5440211108893699,10
458,Sunny,100,469,0.9893582466233818,8
459,Cloudy,0,741,0.428182669496151,35
460,Cloudy,0,990,0.7625584504796028,26
461,Cloudy,0,775,0.008851309290403876,22
462,Cloudy,0,771,0.017701925105413577,44
463,Cloudy,0,975,0.9092974268256817,2
464,Cloudy,0,890,0.14987720966295234,19
465,Sunny,100,415,0.428182669496151,35
466,Cloudy,0,962,0.123573122745224,47
467,Sunny,100,220,0.158622668804709,41
468,Sunny,100,179,0.6502878401571169,15
469,Cloudy,0,885,0.13235175009777303,25
470,Sunny,100,256,0.8509035245341184,45
471,Cloudy,0,785,0.9917788534431158,36
472,Sunny,100,91,0.008851309290403876,22
473,Sunny,100,409,0.9165215479156338,42
474,Cloudy,0,775,0.9999118601072672,33
475,Sunny,100,142,0.7568024953079282,4
476,Cloudy,0,512,0.6636338842129675,29
477,Sunny,100,469,0.9589242746631385,5
478,Cloudy,0,705,0.008851309290403876,22
479,Cloudy,0,984,0.0,0
480,Sunny,100,51,0.7682546613236668,48
481,Sunny,100,423,0.9893582466233818,8
482,Sunny,100,341,0.6636338842129675,29
483,Cloudy,0,944,0.5514266812416906,32
484,Cloudy,0,966,0.5365729180004349,12
485,Sunny,100,500,0.9129452507276277,20
486,Cloudy,0,948,0.9129452507276277,20
487,Sunny,100,414,0.2963685787093853,38
488,Cloudy,0,915,0.8462204041751706,23
489,Sunny,100,137,0.14987720966295234,19
490,Sunny,100,265,0.428182669496151,35
491,Sunny,100,491,0.14987720966295234,19
492,Cloudy,0,903,0.13235175009777303,25
493,Cloudy,0,923,0.9893582466233818,8
494,Sunny,100,270,0.27090578830786904,28
495,Cloudy,0,593,0.404037645323065,31
496,Sunny,100,259,0.428182669496151,35
497,Sunny,100,123,0.2879033166650653,16
498,Cloudy,0,794,0.428182669496151,35
499,Cloudy,0,909,0.750987246771676,18
500,Sunny,100,62,0.008851309290403876,22
501,Sunny,100,105,0.750987246771676,18
502,Cloudy,0,851,0.8509035245341184,45
503,Cloudy,0,553,0.9129452507276277,20
504,Cloudy,0,656,0.956375928404503,27
505,Cloudy,0,579,0.5514266812416906,32
506,Cloudy,0,893,0.5514266812416906,32
507,Sunny,100,67,0.7625584504796028,26
508,Sunny,100,156,0.4121184852417566,9
509,Sunny,100,147,0.9906073556948704,14
510,Cloudy,0,585,0.9880316240928618,30
511,Sunny,100,436,0.7451131604793488,40
512,Sunny,100,157,0.9537526527594719,49
513,Cloudy,0,988,0.4201670368266409,13
514,Sunny,100,326,0.9893582466233818,8
515,Cloudy,0,638,0.017701925105413577,44
516,Cloudy,0,509,0.9613974918795568,17
517,Cloudy,0,641,0.5514266812416906,32
518,Cloudy,0,812,0.5290826861200238,34
519,Cloudy,0,602,0.27941549819892586,6
520,Cloudy,0,684,0.0,0
521,Cloudy,0,607,0.5290826861200238,34
522,Sunny,100,381,0.5514266812416906,32
523,Cloudy,0,970,0.008851309290403876,22
524,Cloudy,0,941,0.1411200080598672,3
525,Sunny,100,304,0.6502878401571169,15
526,Sunny,100,147,0.6569865987187891,7
527,Sunny,100,386,0.9017883476488092,46
528,Cloudy,0,644,0.7682546613236668,48
529,Sunny,100,379,0.5365729180004349,12
530,Cloudy,0,951,0.0,0
531,Sunny,100,196,0.2963685787093853,38
532,Sunny,100,230,0.9880316240928618,30
533,Cloudy,0,643,0.14987720966295234,19
534,Sunny,100,95,0.9999902065507035,11
535,Sunny,100,202,0.9165215479156338,42
536,Sunny,100,466,0.158622668804709,41
537,Sunny,100,163,0.13235175009777303,25
538,Sunny,100,320,0.2963685787093853,38
539,Cloudy,0,946,0.9999118601072672,33
540,Cloudy,0,545,0.9637953862840878,39
541,Sunny,100,326,0.428182669496151,35
542,Cloudy,0,616,0.9017883476488092,46
543,Cloudy,0,755,0.9537526527594719,49
544,Sunny,100,279,0.5440211108893699,10
545,Cloudy,0,986,0.5365729180004349,12
546,Sunny,100,21,0.9637953862840878,39
547,Cloudy,0,514,0.9917788534431158,36
548,Cloudy,0,757,0.7682546613236668,48
549,Sunny,100,154,0.27090578830786904,28
550,Sunny,100,329,0.5365729180004349,12
551,Sunny,100,8,0.9917788534431158,36
552,Sunny,100,255,0.27941549819892586,6
553,Sunny,100,218,0.9999118601072672,33
554,Cloudy,0,667,0.2963685787093853,38
555,Sunny,100,105,0.017701925105413577,44
556,Sunny,100,153,0.14987720966295234,19
557,Cloudy,0,959,0.5514266812416906,32
558,Sunny,100,180,0.9999118601072672,33
559,Cloudy,0,819,0.008851309290403876,22
560,Cloudy,0,537,0.9999118601072672,33
561,Sunny,100,69,0.5365729180004349,12
562,Sunny,100,103,0.14987720966295234,19
563,Cloudy,0,627,0.5290826861200238,34
564,Sunny,100,411,0.9589242746631385,5
565,Sunny,100,322,0.2879033166650653,16
566,Sunny,100,200,0.2963685787093853,38
567,Cloudy,0,659,0.9906073556948704,14
568,Sunny,100,118,0.8509035245341184,45
569,Cloudy,0,995,0.428182669496151,35
570,Cloudy,0,661,0.017701925105413577,44
571,Cloudy,0,790,0.836655638536056,21
572,Sunny,100,211,0.6569865987187891,7
573,Sunny,100,207,0.6569865987187891,7
574,Sunny,100,52,0.7682546613236668,48
575,Cloudy,0,831,0.6636338842129675,29
576,Cloudy,0,555,0.008851309290403876,22
577,Cloudy,0,894,0.8317747426285983,43
578,Cloudy,0,680,0.7451131604793488,40
579,Sunny,100,123,0.27090578830786904,28
580,Cloudy,0,908,0.9999118601072672,33
581,Sunny,100,236,0.9906073556948704,14
582,Cloudy,0,900,0.7451131604793488,40
583,Sunny,100,47,0.4201670368266409,13
584,Sunny,100,15,0.27090578830786904,28
585,Sunny,100,8,0.27090578830786904,28
586,Cloudy,0,828,0.9129452507276277,20
587,Cloudy,0,938,0.4201670368266409,13
588,Sunny,100,451,0.9537526527594719,49
589,Cloudy,0,619,0.9613974918795568,17
590,Cloudy,0,698,0.8414709848078965,1
591,Cloudy,0,973,0.5290826861200238,34
592,Sunny,100,427,0.956375928404503,27
593,Cloudy,0,565,0.9906073556948704,14
594,Cloudy,0,523,0.9165215479156338,42
595,Cloudy,0,602,0.27941549819892586,6
596,Cloudy,0,584,0.158622668804709,41
597,Sunny,100,320,0.8509035245341184,45
598,Sunny,100,210,0.9092974268256817,2
599,Sunny,100,78,0.158622668804709,41
600,Sunny,100,387,0.7451131604793488,40
601,Cloudy,0,865,0.9917788534431158,36
602,Cloudy,0,510,0.404037645323065,31
603,Cloudy,0,776,0.13235175009777303,25
604,Sunny,100,474,0.008851309290403876,22
605,Cloudy,0,644,0.9893582466233818,8
606,Sunny,100,341,0.956375928404503,27
607,Sunny,100,199,0.017701925105413577,44
608,Cloudy,0,743,0.9999902065507035,11
609,Sunny,100,25,0.9613974918795568,17
610,Sunny,100,106,0.2963685787093853,38
611,Sunny,100,27,0.6502878401571169,15
612,Cloudy,0,617,0.6636338842129675,29
613,Sunny,100,248,0.9092974268256817,2
614,Sunny,100,260,0.7625584504796028,26
615,Sunny,100,9,0.9017883476488092,46
616,Sunny,100,492,0.6502878401571169,15
617,Sunny,100,368,0.6569865987187891,7
618,Cloudy,0,691,0.8462204041751706,23
619,Cloudy,0,605,0.5365729180004349,12
620,Cloudy,0,698,0.5514266812416906,32
621,Sunny,100,308,0.9893582466233818,8
622,Cloudy,0,988,0.9589242746631385,5
623,Sunny,100,64,0.5365729180004349,12
624,Cloudy,0,977,0.9165215479156338,42
625,Cloudy,0,790,0.9017883476488092,46
626,Sunny,100,297,0.4201670368266409,13
627,Sunny,100,134,0.5440211108893699,10
